Name,Pick,Team,Class,School,POS,HT (ft),WT (lb),Arm Length (in),Hand Size (in),40 (s),10-yd (s),Shuttle (s),3Cone (s),Bench (reps),Vert (in),Broad Jump (ft),rSPARQ,pSPARQ,rSPARQ z-score,pSPARQ z-score
Sini Tauauvea,,,2014,Utah State,OG,6.17,293,0,0,5.43,1.87,5.04,8.5,18,30,8.17,74.9,76,-1.1,-1
Shakeil Lucas,,,2014,Louisiana Tech,DT,6.12,284,0,0,5.06,1.77,4.9,7.6,19,26,8.33,80.9,81.6,-1.1,-1
Jamill Lott,,,2014,Jacksonville State,CB,5.95,189,0,0,4.58,1.6,4.33,7.18,13,35.5,9.58,102.1,98.7,-0.6,-1
Anthony Holmes,,,2014,Akron,DS,5.96,207,0,0,4.78,1.59,4.34,7.36,20,33,9.75,101.5,97,-0.8,-1
Glenn Hutton Jr.,,,2014,Bloomsburg,WR,5.85,191,0,0,4.63,1.62,4.43,7.21,12,33.5,10.1,93,95.3,-1.2,-1
K.J. Morton,,,2014,Baylor,CB,5.68,190,29.75,9,4.62,1.66,4.17,7.31,20,32.5,9.75,109.4,98.6,0,-1
Jasen Carlson,,,2014,Buffalo,OG,6.19,309,0,0,5.45,1.85,4.96,7.78,22,23,8.08,71.3,75.8,-1.4,-1
Robert Smith,,,2014,Jackson State,DT,6.03,286,31.25,9.63,5.11,1.8,4.8,8,29,25,8.42,87.8,81.4,-0.7,-1
E.J. Gaines,,,2014,Missouri,CB,5.79,190,30.38,9.38,4.51,1.58,4.28,7.13,15,31.5,9.58,102.5,98.5,-0.5,-1
Dyllon Mafi,,,2014,Oregon State,OB,6.19,225,0,0,4.88,1.68,4.51,7.29,7,32.5,9.75,81.2,95.3,-1.9,-1
Jeff Scott,,,2014,Ole Miss,RB,5.55,165,28.25,9,4.46,1.54,4.28,7.13,8,34,9.33,94.6,98.2,-1.3,-1
Demarius Matthews,,,2014,Georgia State,CB,5.75,160,0,0,4.56,1.67,4.32,6.81,6,35.5,10.33,88.8,98.4,-1.6,-1
Jake Holland,,,2014,Auburn,IB,6.01,237,29.75,9.75,4.73,1.75,4.54,7.33,20,30,9.58,97.1,95.5,-1.1,-1
Anthony Johnson,,,2015,LSU,DT,6.2,308,33,10.38,5.24,1.82,4.83,7.93,20,24.5,8.5,80.1,81.2,-1.2,-1
Nate Richards,,,2014,Rice,OC,6.24,304,32,9.25,5.5,1.91,4.96,8.08,17,25.5,8,68.4,69.2,-1.4,-1
Daniel Prior,,,2014,North Texas,HB,6.04,240,0,0,4.87,1.7,4.57,7.45,18,32,9.08,92.3,87,-1.1,-1
Chris Young,,,2014,Arizona State,IB,6.01,252,32,9.88,4.84,1.71,4.37,7.2,15,31.5,8.83,100.2,95.4,-0.8,-1
Ryan Donohue,,,2014,Connecticut,IB,5.97,244,31,9.25,4.84,1.67,4.71,7.15,29,32.5,9.08,101.6,95.4,-0.7,-1
Antonio Gillespie,,,2014,Troy,DT,6.05,297,31.63,9.75,5.15,1.99,4.62,7.69,23,27,8.5,90.6,81.1,-0.5,-1
Roy Philon,,,2014,Louisville,DT,6.19,298,0,0,5.13,1.76,4.75,7.77,25,27.5,7.5,92,81.1,-0.4,-1
Deionte Gordon,,,2014,Central Washington,DS,5.97,196,0,0,4.75,1.53,4.37,7.31,16,34,9.67,96.7,96.5,-1.1,-1
Fidel Montgomery,,,2014,South Florida,DS,5.88,190,0,0,4.49,1.52,4.47,7.09,13,32.5,9.5,95.4,96.5,-1.2,-1
Kenny Bell,,,2014,Alabama,WR,6.02,182,34.25,8.38,4.52,1.56,4.43,7.36,9,34,9.9,92.3,94.9,-1.3,-1
Terrill Barnes,,,2014,Indiana (PA),WR,6.09,205,31.75,9.5,4.63,1.65,4.25,7.05,16,30,9.6,101.2,94.9,-0.6,-1
John Hubert,,,2014,Kansas State,RB,5.6,202,28.5,9,4.55,1.63,4.39,7.09,15,30.5,9.42,98,98,-1,-1
Gabe Woullard,,,2014,East Carolina,OB,6.09,228,0,0,4.87,1.57,4.57,7.33,20,31,9.33,90.2,94.9,-1.3,-1
Darryl Cato-Bishop,,,2014,North Carolina State,DE,6.2,257,31.63,9,4.96,1.65,4.53,7.43,22,29.5,9.08,94.3,92.4,-0.9,-1
Chris Williams,,,2014,Troy,WR,5.94,182,32.5,9,4.45,1.62,4.25,7.01,8,35.5,9,102.5,94.8,-0.5,-1
Steven Jenkins,,,2014,Texas A&M,OB,5.95,216,32,8.63,4.84,1.58,4.42,7.21,16,28.5,9.42,86.9,94.8,-1.5,-1
B.J. Lowery,,,2014,Iowa,CB,5.84,192,0,0,4.75,1.61,4.29,6.85,13,34,9.75,95.6,98.1,-1.1,-1
Malcolm Butler,,,2014,West Alabama,CB,5.8,187,31.13,9.5,4.62,1.62,4.27,7.2,13,33.5,9.83,99.3,98.1,-0.8,-1
Zamel Johnson,,,2014,Temple,CB,5.86,182,0,0,4.62,1.52,4.27,6.98,18,33.5,9.33,103.3,98.1,-0.5,-1
Brandon Coleman,,,2014,Rutgers,WR,6.5,225,34,9.25,4.56,1.66,4.51,7.33,21,32.5,9.4,107.5,94.7,0,-1
Tabrian Resby,,,2014,Howard,OB,5.81,230,0,0,4.73,1.71,4.43,7.3,25,32,8.83,108.7,94.7,-0.1,-1
Brett Pasche,,,2014,Hillsdale,IB,6.04,235,0,0,4.8,1.68,4.5,7.18,24,30,9.17,99.6,95.1,-0.9,-1
Kenarious Gates,,,2014,Georgia,OT,6.33,318,33.5,9.38,5.24,1.87,5.12,8.34,22,24.5,8.17,81.3,76.1,-0.6,-1
Rod White,,,2014,West Liberty,CB,5.67,197,28.88,8.88,4.4,1.53,4.15,7.13,13,33.5,8.5,114,98,0.4,-1
Je’Ron Stokes,,,2014,Norfolk State,WR,6.01,199,0,0,4.67,1.61,4.42,7.29,19,35,9.6,103.2,94.6,-0.4,-1
D.J. Adams,,,2014,Portland State,RB,5.77,213,30.5,9,4.62,1.65,4.46,7.49,18,33.5,9.42,103.2,97.6,-0.7,-1
Letavious Williams,,,2014,Newberry,DE,6.19,247,0,0,4.75,1.67,4.77,7.63,16,29,9.58,87,92,-1.4,-1
Malcolm Eugene,,,2014,Stony Brook,WR,6.35,218,0,0,4.81,1.61,4.53,7.1,15,31,10.3,87.4,94.5,-1.7,-1.1
Dylan Reda,,,2014,Southern Miss,OB,6.12,238,0,0,4.9,1.69,4.44,7.48,32,32,9,109.3,94.4,-0.1,-1.1
Alex Hubbard,,,2014,Cal Poly,DS,5.67,191,0,0,4.55,1.69,4.26,6.91,18,31.5,9.5,105.2,96,-0.5,-1.1
Nick Williams,,,2014,North Alabama,DS,6.18,217,31,9.25,4.85,1.66,4.38,7.26,18,34,9.83,99,96,-1,-1.1
Ashton Clark,,,2014,Eastern Washington,WR,5.87,186,30.75,9.25,4.55,1.61,4.23,6.91,8,32,9.4,95.2,94.4,-1,-1.1
Josh Stewart,,,2015,Oklahoma State,WR,5.81,178,30,9.38,4.63,1.64,4.28,7.1,11,35,9.8,96.7,94.4,-0.9,-1.1
Johnny Millard,,,2014,Cal Poly,OB,6.17,225,31,9.38,4.81,1.68,4.41,7.19,21,27,9.5,92.5,94.3,-1.1,-1.1
Ed Tinker,,,2014,Pittsburgh,WR,6,198,30.38,8.25,4.6,1.62,4.56,6.82,13,31.5,10,88.4,94.3,-1.6,-1.1
Stephen Jeffers,,,2014,Nevada,TE,6.17,260,0,0,4.97,1.77,4.58,7.54,20,31.5,9,94.1,87.6,-0.7,-1.1
Kevin Forsch,,,2014,Houston,OC,6.29,307,32.25,8.75,5.4,1.91,5,8,23,26,7.58,77.9,68.3,-0.7,-1.1
Ed Stinson,,,2014,Alabama,DE,6.27,288,33.75,9.38,4.98,1.78,4.75,8.07,27,28,8.58,99.2,91.6,-0.6,-1.1
Nick Addison,,,2015,Bethune-Cookman,CB,6.09,189,0,0,4.67,1.58,4.36,7.11,6,34.5,9.92,88.9,97.6,-1.6,-1.1
Brian Richards,,,2014,Saint Augustine's,WR,6.19,223,31.38,10.25,4.77,1.6,4.4,7.12,10,33.5,9.4,93.7,94.2,-1.2,-1.1
Thomas Ashcraft,,,2014,SMU,OT,6.29,326,33.5,9.25,5.44,1.95,5.16,8.51,35,25.5,8.5,87.6,75.6,-0.1,-1.1
Jacob Pedersen,,,2014,Wisconsin,TE,6.29,238,31.75,9,4.86,1.74,4.4,7.55,20,28.5,9.25,95.1,87.5,-0.6,-1.1
Dijon Washington,,,2014,Sacramento State,DS,6.01,190,0,0,4.64,1.63,4.39,7.24,16,31,10.17,93.9,95.7,-1.3,-1.1
Jonathan Pillow,,,2014,Florida A&M,DS,6.01,197,0,0,4.57,1.58,4.44,7.39,18,32.5,9.67,100.6,95.7,-0.8,-1.1
Keba Agostinho,,,2014,Kansas,DE,6.11,270,0,0,5.14,1.77,4.51,7.59,21,29.5,9.08,89.7,91.5,-1.2,-1.1
Tedder Easton,,,2014,Wyoming,FB,5.93,247,0,0,4.83,1.65,4.5,7.62,25,26.5,9,95.7,86,-0.9,-1.1
Donnie Owens,,,2014,Winston-Salem,DT,6.14,308,31.75,10.25,5.22,1.77,4.79,7.62,26,25,7.67,87.4,80.2,-0.7,-1.1
Sione Potoa'e,,,2014,Washington,DT,6.18,290,0,0,5.35,1.85,4.65,7.59,26,25.5,8.75,80.5,80.2,-1.1,-1.1
Dan France,,,2014,Michigan State,OT,6.45,300,32.13,9.13,5.45,1.95,4.7,7.69,27,28,8.5,83.9,75.5,-0.4,-1.1
Joe Webb,,,2014,Urbana,WR,5.97,198,0,0,4.72,1.61,4.17,7.07,18,30,9.5,101.1,94.1,-0.6,-1.1
Lonnie Outlaw,,,2014,Miles College,WR,6.5,212,0,0,4.57,1.59,4.5,6.9,12,32,9.3,94.7,94.1,-1.1,-1.1
Travonte Boles,,,2014,Western Michigan,DT,5.96,294,0,0,5.52,1.71,4.56,7.56,26,24,8.25,76.2,80.1,-1.4,-1.1
Robert Godhigh,,,2014,Georgia Tech,RB,5.44,194,26.13,8.63,4.58,1.56,4.31,7.03,23,32.5,8.67,109.9,96.9,-0.2,-1.1
Colby Way,,,2014,Buffalo,DE,6.23,285,32,10,5.15,1.72,4.62,7.57,23,28,8.67,88.9,91.2,-1.3,-1.1
Jamal Merrell,,,2014,Rutgers,OB,6.37,230,34.13,9.5,4.74,1.65,4.33,7.45,17,28,9.08,97,93.7,-0.8,-1.1
Josh Ford,,,2014,Kansas,WR,6.25,206,0,0,4.6,1.61,4.28,6.96,13,31,9.2,100,93.9,-0.7,-1.1
Sadale Foster,,,2014,Texas Tech,WR,5.59,188,0,0,4.56,1.57,4.47,7.32,19,35.5,9.4,103.5,93.9,-0.4,-1.1
Alex Pierce,,,2014,Eastern Illinois,OG,6.43,330,0,0,5.79,1.9,4.92,8.15,16,24,8.08,60.6,74.3,-2.3,-1.1
Dakota Dozier,,,2014,Furman,OG,6.29,313,33.88,9.88,5.42,1.95,4.89,8.14,23,27.5,8.42,82,74.3,-0.6,-1.1
Lesley Deamer,,,2014,Northwestern State,DT,6.12,310,0,0,5.33,1.83,4.87,8.34,20,27,8.33,81.2,79.9,-1.1,-1.1
Doctor Cassama,,,2014,Calgary (CA),DS,6.08,194,0,0,4.55,1.61,4.78,7.1,17,35,9.92,93.4,95.3,-1.4,-1.1
Ryan Boutwell,,,2014,North Texas,DE,6.27,249,0,0,4.82,1.72,4.85,7.62,19,32,9.42,91.6,90.9,-1.1,-1.1
Vyncent Jones,,,2014,Utah,OC,6.23,301,33,9,5.44,1.94,5.03,8.61,24,27,8,77.2,67.7,-0.8,-1.1
Jeremy Hill,55,CIN,2016,LSU,RB,6.05,233,32.63,10.38,4.58,1.61,4.59,7.64,20,31,9.42,101.5,96.6,-0.8,-1.1
Bryan Bonilla,,,2014,New Mexico State,OB,6.02,230,31.63,9.63,4.67,1.7,4.76,7.91,24,32,9.5,99.4,93.4,-0.7,-1.1
Andre Cureton,,,2014,Cincinnati,OG,6.42,311,0,0,5.21,1.92,4.84,8.42,19,24,8.67,80.1,74.1,-0.7,-1.1
Jovan Stevenson,,,2014,Oregon State,CB,5.84,198,0,0,4.65,1.65,4.34,7.06,12,34,9.67,98,97,-0.9,-1.1
Wes Dothard,,,2014,Chattanooga,IB,5.96,224,30.88,9.25,4.78,1.68,4.63,7.59,18,32,9.75,90.2,93.9,-1.7,-1.1
Matt Goetz,,,2014,Washington State,OG,6.33,260,0,0,5.43,1.83,4.83,7.94,25,24.5,8.83,66.3,73.9,-1.8,-1.1
Bijon Samoodi,,,2014,Cal Poly,CB,5.6,177,0,0,4.58,1.64,4.49,7.4,13,38.5,10.08,97.4,96.9,-0.9,-1.1
Carl Miles,,,2014,Kansas State,CB,5.8,179,0,0,4.5,1.58,4.5,7.06,16,34.5,9.75,97.6,96.9,-0.9,-1.1
Dominique Easley,29,NEP,2014,Florida,DE,6.13,288,32.88,9.75,4.93,1.77,4.78,7.69,26,26,8.5,96.5,90.5,-0.8,-1.1
Elhadji Ndiaye,,,2014,Nebraska Kearney,OB,6.33,243,0,0,4.88,1.81,4.6,7.46,16,32,9.67,89.3,90.5,-1.2,-1.1
Damien Proby,,,2014,Northwestern,IB,5.95,246,31.38,10.5,4.68,1.64,4.42,7.4,18,28.5,8.75,101.1,93.8,-0.7,-1.1
Anthony McClung,,,2014,Cincinnati,WR,5.92,182,0,0,4.62,1.61,4.37,7.21,13,32.5,10,92.9,93.4,-1.2,-1.1
Santonio Jones,,,2014,UAB,FB,5.78,228,30,9.13,4.7,1.68,4.7,7.75,22,32.5,8.92,97.3,85.1,-0.8,-1.1
Grandville Taylor,,,2014,Arizona State,IB,5.96,229,0,0,4.81,1.63,4.6,7.28,16,31.5,9.33,88.5,93.7,-1.8,-1.1
Zane Fakes,,,2014,Ball State,TE,6.24,234,30.25,9.25,4.9,1.67,4.69,7.44,16,31,9,82.9,86.4,-1.4,-1.1
Steven Haunga,,,2014,Arkansas State,OG,6.11,324,0,0,5.62,1.93,4.96,8.07,33,26.5,7.67,82.2,73.7,-0.6,-1.1
Rodney Lamar,,,2014,Northern Michigan,OB,6.04,225,0,0,4.79,1.77,4.53,7.09,23,31.5,9.33,98.2,92.9,-0.8,-1.1
Thad Randle,,,2014,Nebraska,DT,6.05,293,0,0,5.15,1.79,4.68,7.48,19,25,7.92,80.9,79.3,-1.1,-1.1
Arthur Forrest II,,,2014,Nevada,DS,6.09,205,0,0,4.63,1.64,4.34,7.21,19,33,9.25,106.1,94.7,-0.4,-1.1
Jonathan Wallace,,,2014,Florida Atlantic,RB,6.04,209,32,9.5,4.8,1.67,4.36,7.13,13,33.5,9.5,94.1,96.1,-1.3,-1.1
Roger Pfannenschmid,,,2014,CSU Pueblo,TE,6.18,263,0,0,4.8,1.67,4.55,7.59,20,29.5,8.17,100.1,86.2,-0.3,-1.2
C.J. James,,,2014,Akron,DE,6.18,249,0,0,4.87,1.65,4.42,7.38,19,26.5,9,91.7,90.1,-1.1,-1.2
Chris Burnette,,,2014,Georgia,OG,6.2,303,32.13,10,5.47,1.89,5.14,8.44,24,28.5,7.92,77.8,73.5,-0.9,-1.2
Jamie Markosian,,,2014,Utah State,OG,6.13,283,0,0,5.25,1.84,4.88,7.81,25,26.5,7.83,80.8,73.5,-0.7,-1.2
Sean Maag,,,2014,Central Florida,DS,6.08,208,29.63,9,4.75,1.64,4.27,6.95,17,31,9.42,99.3,94.5,-0.9,-1.2
Blake Jackson,,,2014,Oklahoma State,TE,6.3,229,33.88,9.38,4.81,1.74,4.56,7.56,14,29.5,9.42,85.1,86.1,-1.3,-1.2
D.J. Monroe,,,2014,Harvard,CB,5.93,190,28.88,9.13,4.64,1.57,4.33,7.24,13,32,9.83,94.7,96.5,-1.2,-1.2
Blake Spears,,,2014,Abilene Christian,OT,6.46,290,0,0,5.62,1.88,4.96,8.07,23,25,8.58,65.2,74.3,-1.7,-1.2
Drayton Calhoun,,,2014,Middle Tennessee,RB,5.83,190,30,8.25,4.57,1.57,4.34,7.13,17,30,9.25,97.7,95.8,-1.1,-1.2
Rodger Walker,,,2014,Appalachian State,CB,5.79,180,0,0,4.45,1.61,4.3,7.14,14,34,9.33,104.5,96.4,-0.4,-1.2
DeAnthony Sims,,,2014,Houston,OG,6.28,347,33,10,5.49,1.96,5.24,8.65,20,28,8,81.1,73.3,-0.7,-1.2
Marcus Trice,,,2014,North Texas,DS,5.64,195,29.88,8.63,4.62,1.63,4.27,6.94,16,31,9.33,100.3,94.3,-0.9,-1.2
Kevin Ozier,,,2014,Arizona State,WR,6.14,199,31.88,9.38,4.62,1.63,4.42,7.03,13,32.5,9.6,94.9,92.9,-1.1,-1.2
Nick Tenhaeff,,,2014,San Diego State,OB,6.08,241,0,0,4.86,1.75,4.49,7.38,19,33,9.17,98.7,92.4,-0.7,-1.2
Jake Snyder,,,2014,Virginia,DE,6.33,270,0,0,5.03,1.74,4.51,7.5,24,26,8.67,90.3,89.7,-1.2,-1.2
Brandin Byrd,,,2014,North Texas,RB,5.84,218,0,0,4.69,1.6,4.39,7.16,17,32,8.92,101,95.6,-0.8,-1.2
Keith Smith,,,2014,San Jose State,OB,5.96,233,31.75,10,4.98,1.76,4.53,6.87,26,31,9.42,93.9,92.2,-1,-1.2
Jeffery Garrett,,,2014,Ball State,CB,5.78,187,0,0,4.63,1.57,4.4,7.61,12,35,10,95.5,96.2,-1.1,-1.2
Chip Thompson,,,2014,East Carolina,DS,5.96,221,0,0,4.74,1.53,4.69,7.53,18,33.5,9.83,92.1,94.1,-1.5,-1.2
Joe Kleason,,,2014,North Dakota,OT,6.29,297,0,0,5.41,1.93,4.85,7.78,25,29.5,8.08,83.9,73.9,-0.4,-1.2
T.J. Stripling,,,2014,Georgia,OB,6.29,241,0,0,4.72,1.59,4.69,7.39,18,30.5,8.92,92.1,92,-1.2,-1.2
David Wilson,,,2014,Howard,FB,6.12,230,0,0,4.83,1.75,4.46,7.28,9,30,9.17,84.2,84.1,-1.7,-1.2
Brandon Salinas,,,2014,South Florida,CB,5.92,180,0,0,4.65,1.65,4.14,7.01,9,31,9.92,92.8,96,-1.3,-1.2
D'Vonte Graham,,,2014,North Carolina AT&T,CB,5.52,166,0,0,4.51,1.49,4.27,7.22,13,31,9.75,94.1,96,-1.2,-1.2
Rod White,,,2014,West Liberty,CB,5.67,197,28.88,8.88,4.4,1.53,4.15,7.13,5,33.5,8.5,104.9,96,-0.3,-1.2
Macky MacPherson,,,2014,Syracuse,OC,6.11,306,31.63,10,5.43,1.92,5,8.09,24,23,7.83,72.6,66.3,-1.1,-1.2
Keaton Stigger,,,2014,Henderson State,IB,5.94,227,31,8.88,4.65,1.69,4.7,7.44,13,31,9.5,87.7,92.8,-1.9,-1.2
Brandon Dunn,,,2014,Louisville,DT,6.19,300,0,0,5.16,1.77,4.87,7.66,21,29.5,7.08,89.7,78.4,-0.6,-1.2
Jordan Sanders,,,2014,Emporia State,OB,6.1,225,0,0,4.95,1.68,4.35,7.5,18,30,9.42,91.2,91.8,-1.2,-1.2
Abdul Smith,,,2014,Temple,CB,5.96,208,30.88,9,4.8,1.63,4.34,6.91,27,28.5,9.83,100.3,95.9,-0.7,-1.2
Lewis Toler,,,2014,Rutgers,CB,5.79,190,29.13,9.63,4.6,1.59,4.34,7.43,16,31.5,9.92,98.1,95.9,-0.9,-1.2
Aaron Harris,,,2014,West Texas A&M,RB,5.84,215,0,0,4.72,1.71,4.57,7.38,8,35.5,9.83,88.2,95.1,-1.7,-1.2
Chris Coyle,,,2014,Arizona State,HB,6.21,243,31,9.38,4.95,1.77,4.46,7.2,16,30.5,9,89.5,83.9,-1.3,-1.2
Damion McMiller,,,2014,Texas State,OB,6.1,225,0,0,4.81,1.65,4.56,7.23,17,32.5,9,91.8,91.5,-1.2,-1.2
Karim Barton,,,2014,Morgan State,OG,6.19,313,33,10.25,5.64,1.94,4.73,7.69,24,26,8,73.7,72.5,-1.2,-1.2
Telvion Clark,,,2014,Towson,IB,6.1,234,0,0,4.85,1.66,4.46,7.52,26,35.5,8.5,109.9,92.5,0,-1.2
Jeff Woody,,,2014,Iowa State,RB,6,244,0,0,4.75,1.66,4.46,7.37,20,30,9.17,101,94.8,-0.8,-1.2
Dustin White,,,2014,Miami (Ohio),FB,6.07,243,0,0,4.97,1.74,4.4,7.15,20,26.5,9.08,88.1,83.6,-1.4,-1.2
Shaquille Shedd,,,2014,Southwest Baptist,IB,6.1,236,0,0,4.9,1.72,4.44,7.06,22,32.5,8.83,100.2,92.4,-0.8,-1.2
Damien Jacobs,,,2014,Florida,DT,6.21,296,34.13,9.5,5.27,1.81,4.9,7.85,17,27.5,8.17,77.9,78,-1.3,-1.2
Jamil Merrell,,,2014,Rutgers,DE,6.29,252,33.25,9,4.9,1.68,4.58,7.37,20,28.5,9.08,89.5,88.6,-1.2,-1.2
Jarrett Brown,,,2014,Sam Houston,DE,6.2,260,0,0,4.98,1.75,4.59,7.73,11,31.5,8.75,84.6,88.6,-1.5,-1.2
Jonathan Brown,,,2014,Illinois,IB,6.03,238,33,9.38,4.87,1.71,4.53,7.3,18,31.5,9.25,92.7,92.3,-1.4,-1.2
Hakeem Smith,,,2014,Louisville,DS,6.02,194,31.5,8.75,4.77,1.65,4.47,6.99,17,37,9.5,97.1,93.3,-1.1,-1.2
Rickie Hill,,,2014,Lehigh,DS,6.11,210,0,0,4.76,1.65,4.65,7.3,18,35,10.08,91.7,93.3,-1.5,-1.2
Tramain Jacobs,,,2014,Texas A&M,CB,5.87,182,31.25,9,4.5,1.57,4.31,7.07,7,32.5,9.5,92.9,95.5,-1.3,-1.2
Zico Pasut,,,2014,East Carolina,HB,6.14,231,0,0,4.91,1.64,4.71,7.26,18,29.5,9.17,81.3,83.4,-1.9,-1.2
Deon Cammock,,,2014,Virginia Union,OG,6.44,370,0,0,5.65,1.92,5.64,8.76,26,22,7.83,70.5,72.2,-1.5,-1.2
Eric Tausch,,,2014,TCU,OC,6.11,283,0,0,5.5,1.92,5.25,8.66,29,25.5,8.25,70.1,65.6,-1.3,-1.2
Kevin Laudermill,,,2014,New Mexico State,DT,6.1,285,0,0,5.25,1.9,4.74,7.55,24,23.5,8.92,76.9,77.8,-1.4,-1.2
Tevin Mims,,,2014,South Florida,OB,6.33,260,33.5,9.38,4.95,1.74,4.58,7.33,27,27.5,9.08,94.9,88.4,-0.9,-1.2
Darius Willis,,,2014,Kansas,IB,6.19,240,0,0,4.84,1.69,4.43,7.28,18,30,9,95.8,92.2,-1.2,-1.2
J.D. Falslev,,,2014,BYU,WR,5.6,178,29.25,9,4.57,1.64,4.21,6.91,16,32,9.3,101.8,91.9,-0.5,-1.2
Jarrett Davis,,,2014,Louisville,WR,5.76,178,0,0,4.49,1.57,4.52,6.98,17,33,9.5,95.5,91.9,-1,-1.2
Anthony Balancier,,,2014,Southern (LA),OB,6.03,216,0,0,4.7,1.73,4.77,7.1,20,32,9.33,91.3,91.1,-1.2,-1.3
Anthony Brown,,,2014,Eastern Kentucky,OB,6,243,32.25,9.5,4.9,1.7,4.65,7.67,17,32.5,9.58,88.1,91.1,-1.4,-1.3
Dominique Duster,,,2014,North Alabama,DT,5.85,279,0,0,5.22,1.82,4.72,7.5,26,26,8.17,82.2,77.7,-1,-1.3
Kadron Boone,,,2014,LSU,WR,5.96,193,31.63,8.75,4.47,1.57,4.6,7.37,9,33,9.8,88.3,91.8,-1.6,-1.3
Quintin Payton,,,2014,North Carolina State,WR,6.27,211,32.75,9.13,4.56,1.62,4.64,7.19,7,33.5,9.8,86.1,91.8,-1.8,-1.3
Anders Battle,,,2014,Northern Arizona,CB,5.93,180,0,0,4.66,1.56,4.33,6.94,8,35,9.5,91,95.3,-1.5,-1.3
Malcolm Willis,,,2014,Penn State,DS,5.95,224,0,0,4.73,1.69,4.35,6.89,18,29,9.42,98.2,92.9,-1,-1.3
Kendrick Hardy,,,2014,Southern Miss,RB,5.97,225,0,0,4.69,1.68,4.56,7.09,20,31,9.33,97,94.2,-1.1,-1.3
Mark Brazinski,,,2014,California,OC,6.42,312,30.25,9.38,5.45,1.93,5.11,8.53,22,23,7.92,70.6,65.2,-1.2,-1.3
Deron Wilson,,,2014,Southern Miss,CB,5.75,183,0,0,4.63,1.6,4.23,7.58,12,34.5,9.67,100,95.1,-0.7,-1.3
Octavias McKoy,,,2014,Western Connecticut,RB,5.83,198,0,0,4.84,1.7,4.43,7.25,15,35.5,9.75,92.5,94.1,-1.4,-1.3
Gasten Gabriel,,,2014,SE Louisiana,OT,6.3,319,0,0,5.47,1.98,5.09,8.58,24,27.5,8.75,80.3,72.6,-0.6,-1.3
Avery Coleman,,,2014,Shippensburg,CB,5.69,170,29.75,8.75,4.6,1.59,4.27,7.1,10,33,9.83,92.1,95,-1.4,-1.3
Nick Leyden,,,2014,Cal Poly,OB,6.09,243,0,0,4.95,1.7,4.59,7.73,24,31,9.25,93,87.7,-1,-1.3
Martez Shabazz,,,2014,Minnesota,CB,5.83,174,0,0,4.56,1.59,4.23,6.91,12,32.5,9.42,97.2,94.9,-1,-1.3
De'Von Flournoy,,,2014,USC,WR,5.92,188,31,10,4.61,1.61,4.43,6.93,7,32,9.8,85.5,91.3,-1.8,-1.3
Roman Runner,,,2014,Idaho,WR,5.98,192,0,0,4.72,1.68,4.2,6.91,13,31,9.6,95.1,91.3,-1,-1.3
Jason Simpson,,,2014,San Jose State,RB,5.95,209,0,0,4.66,1.69,4.43,7.16,11,30.5,9.58,90.1,93.8,-1.6,-1.3
Charles Watson,,,2014,South Alabama,DS,6.08,205,0,0,4.74,1.72,4.44,6.9,10,36,9.5,93.2,92.5,-1.4,-1.3
Joe Botti,,,2014,LIU Post,WR,6.13,200,0,0,4.72,1.62,4.37,7.08,13,32.5,9.5,93.3,91.2,-1.2,-1.3
Carlo Calabrese,,,2014,Notre Dame,IB,6.08,236,29.88,9.38,4.91,1.7,4.55,7.08,25,30,9.17,94.2,91.4,-1.3,-1.3
Nadir Brown,,,2014,Cal (PA),WR,6.26,196,0,0,4.63,1.65,4.38,6.97,8,36,9.1,95.4,91.1,-1,-1.3
Zachary McMillian,,,2014,Houston,CB,5.84,175,29.38,9.13,4.68,1.63,4.3,7.07,4,36,9.83,87.3,94.6,-1.8,-1.3
Thretton Palamo,,,2014,Utah,DE,6.17,261,0,0,4.93,1.79,4.58,7.44,21,27,8.58,89.6,87.2,-1.2,-1.3
Antonio Andrews,,,2014,Western Kentucky,RB,5.84,225,31.25,9.25,4.76,1.65,4.35,7.17,20,30,9,100.9,93.5,-0.8,-1.3
Andre Civil,,,2014,Rutgers,OG,6.29,290,34.38,9,5.68,1.88,5.43,8.96,28,26,8.5,63.8,71.2,-2,-1.3
Curtis Slater,,,2014,West Texas A&M,DS,5.59,198,0,0,4.78,1.7,4.25,6.88,14,32.5,9.5,95.9,92.2,-1.2,-1.3
Felton Payton,,,2014,Troy,WR,6.01,180,32.38,9.25,4.75,1.62,4.34,7.16,10,34,9.9,88.1,91,-1.6,-1.3
Calvin Ursin,,,2014,Arkansas Monticello,FB,5.76,244,0,0,4.82,1.65,4.43,7.63,35,24.5,8.5,103,82.3,-0.3,-1.3
Anthony Brown,,,2014,Memphis,IB,6.12,252,0,0,4.84,1.64,4.58,7.36,14,31.5,8.83,90.9,91.2,-1.6,-1.3
Paul Porras,,,2014,Rice,DS,6,204,0,0,4.75,1.68,4.35,7.05,12,33.5,9.5,94.4,92.1,-1.3,-1.3
Mike Olson,,,2014,Wake Forest,IB,6.2,221,31.88,9,4.8,1.64,4.34,7.25,6,34,8.58,90.8,90.9,-1.6,-1.3
Nick DePaola,,,2014,Rutgers,DS,5.87,210,0,0,4.76,1.62,4.34,7.1,18,30,9.42,96.1,91.7,-1.2,-1.4
